day_id,date,season,yr,workingday,weather,temp,cnt
1,1/1/2011,1,0,0,2,0.344167,985
2,1/2/2011,1,0,0,2,0.363478,801
3,1/3/2011,1,0,1,1,0.196364,1349
4,1/4/2011,1,0,1,1,0.2,1562
5,1/5/2011,1,0,1,1,0.226957,1600
6,1/6/2011,1,0,1,1,0.204348,1606
7,1/7/2011,1,0,1,2,0.196522,1510
8,1/8/2011,1,0,0,2,0.165,959
9,1/9/2011,1,0,0,1,0.138333,822
10,1/10/2011,1,0,1,1,0.150833,1321
11,1/11/2011,1,0,1,2,0.169091,1263
12,1/12/2011,1,0,1,1,0.172727,1162
13,1/13/2011,1,0,1,1,0.165,1406
14,1/14/2011,1,0,1,1,0.16087,1421
15,1/15/2011,1,0,0,2,0.233333,1248
16,1/16/2011,1,0,0,1,0.231667,1204
17,1/17/2011,1,0,0,2,0.175833,1000
18,1/18/2011,1,0,1,2,0.216667,683
19,1/19/2011,1,0,1,2,0.292174,1650
20,1/20/2011,1,0,1,2,0.261667,1927
21,1/21/2011,1,0,1,1,0.1775,1543
22,1/22/2011,1,0,0,1,0.0591304,981
23,1/23/2011,1,0,0,1,0.0965217,986
24,1/24/2011,1,0,1,1,0.0973913,1416
25,1/25/2011,1,0,1,2,0.223478,1985
26,1/26/2011,1,0,1,3,0.2175,506
27,1/27/2011,1,0,1,1,0.195,431
28,1/28/2011,1,0,1,2,0.203478,1167
29,1/29/2011,1,0,0,1,0.196522,1098
30,1/30/2011,1,0,0,1,0.216522,1096
31,1/31/2011,1,0,1,2,0.180833,1501
32,2/1/2011,1,0,1,2,0.192174,1360
33,2/2/2011,1,0,1,2,0.26,1526
34,2/3/2011,1,0,1,1,0.186957,1550
35,2/4/2011,1,0,1,2,0.211304,1708
36,2/5/2011,1,0,0,2,0.233333,1005
37,2/6/2011,1,0,0,1,0.285833,1623
38,2/7/2011,1,0,1,1,0.271667,1712
39,2/8/2011,1,0,1,1,0.220833,1530
40,2/9/2011,1,0,1,2,0.134783,1605
41,2/10/2011,1,0,1,1,0.144348,1538
42,2/11/2011,1,0,1,1,0.189091,1746
43,2/12/2011,1,0,0,1,0.2225,1472
44,2/13/2011,1,0,0,1,0.316522,1589
45,2/14/2011,1,0,1,1,0.415,1913
46,2/15/2011,1,0,1,1,0.266087,1815
47,2/16/2011,1,0,1,1,0.318261,2115
48,2/17/2011,1,0,1,1,0.435833,2475
49,2/18/2011,1,0,1,1,0.521667,2927
50,2/19/2011,1,0,0,1,0.399167,1635
51,2/20/2011,1,0,0,1,0.285217,1812
52,2/21/2011,1,0,0,2,0.303333,1107
53,2/22/2011,1,0,1,1,0.182222,1450
54,2/23/2011,1,0,1,1,0.221739,1917
55,2/24/2011,1,0,1,2,0.295652,1807
56,2/25/2011,1,0,1,2,0.364348,1461
57,2/26/2011,1,0,0,1,0.2825,1969
58,2/27/2011,1,0,0,1,0.343478,2402
59,2/28/2011,1,0,1,2,0.407273,1446
60,3/1/2011,1,0,1,1,0.266667,1851
61,3/2/2011,1,0,1,1,0.335,2134
62,3/3/2011,1,0,1,1,0.198333,1685
63,3/4/2011,1,0,1,2,0.261667,1944
64,3/5/2011,1,0,0,2,0.384167,2077
65,3/6/2011,1,0,0,2,0.376522,605
66,3/7/2011,1,0,1,1,0.261739,1872
67,3/8/2011,1,0,1,1,0.2925,2133
68,3/9/2011,1,0,1,2,0.295833,1891
69,3/10/2011,1,0,1,3,0.389091,623
70,3/11/2011,1,0,1,2,0.316522,1977
71,3/12/2011,1,0,0,1,0.329167,2132
72,3/13/2011,1,0,0,1,0.384348,2417
73,3/14/2011,1,0,1,1,0.325217,2046
74,3/15/2011,1,0,1,2,0.317391,2056
75,3/16/2011,1,0,1,2,0.365217,2192
76,3/17/2011,1,0,1,1,0.415,2744
77,3/18/2011,1,0,1,1,0.54,3239
78,3/19/2011,1,0,0,1,0.4725,3117
79,3/20/2011,1,0,0,1,0.3325,2471
80,3/21/2011,2,0,1,2,0.430435,2077
81,3/22/2011,2,0,1,1,0.441667,2703
82,3/23/2011,2,0,1,2,0.346957,2121
83,3/24/2011,2,0,1,2,0.285,1865
84,3/25/2011,2,0,1,1,0.264167,2210
85,3/26/2011,2,0,0,1,0.265833,2496
86,3/27/2011,2,0,0,2,0.253043,1693
87,3/28/2011,2,0,1,1,0.264348,2028
88,3/29/2011,2,0,1,1,0.3025,2425
89,3/30/2011,2,0,1,2,0.3,1536
90,3/31/2011,2,0,1,3,0.268333,1685
91,4/1/2011,2,0,1,2,0.3,2227
92,4/2/2011,2,0,0,2,0.315,2252
93,4/3/2011,2,0,0,1,0.378333,3249
94,4/4/2011,2,0,1,1,0.573333,3115
95,4/5/2011,2,0,1,2,0.414167,1795
96,4/6/2011,2,0,1,1,0.390833,2808
97,4/7/2011,2,0,1,1,0.4375,3141
98,4/8/2011,2,0,1,2,0.335833,1471
99,4/9/2011,2,0,0,2,0.3425,2455
100,4/10/2011,2,0,0,2,0.426667,2895
101,4/11/2011,2,0,1,2,0.595652,3348
102,4/12/2011,2,0,1,2,0.5025,2034
103,4/13/2011,2,0,1,2,0.4125,2162
104,4/14/2011,2,0,1,1,0.4675,3267
